date,LA384104005.Q,LA154104005.Q,LA153165105.Q,LA153166000.Q,LA144104005.Q,LA104104005.Q,LA314104005.Q,LA214104005.Q,LA794104005.Q,LA264104005.Q
1945:Q4,352402,29442,18706,6800,55940,44653,254385,12635,5692,5520
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,343964,36067,23100,9777,63908,49889,231306,12683,5245,7823
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,356685,44913,28267,13298,72561,56780,224898,14313,5260,11904
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,369120,53423,33422,16332,79968,62811,220012,15717,7301,13116
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,384453,61273,37406,19374,82933,64394,223629,16618,8617,13469
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,411373,74845,45250,23947,92084,70439,223234,21210,11335,13614
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q4,1759092,571267,343552,168757,634365,431815,372750,180710,180771,57569
1973:Q1,1812385,590525,353598,176766,659441,446413,378186,184233,182143,58848
1973:Q2,1856626,604561,361862,183161,685410,461449,379668,186987,196630,60598
1973:Q3,1900559,620767,371042,187983,710306,481202,379074,190412,209106,60514
1973:Q4,1940863,636677,382218,192980,727578,497437,381829,194779,223936,62240
1974:Q1,1981511,649082,392321,196565,751318,512155,381929,199182,225560,62694
1974:Q2,2031941,664222,400813,199933,779452,529291,385635,202632,241114,67122
1974:Q3,2077460,678869,410404,202348,802156,541863,390234,206201,258084,69951
1974:Q4,2116457,691472,419339,201926,820315,553066,396457,208213,270774,73051
1975:Q1,2155295,700265,427459,202454,831801,558834,412756,210473,265991,76701
1975:Q2,2203208,708396,435481,199092,841543,562445,440620,212649,265588,78831
1975:Q3,2254303,724107,445509,202035,851525,568024,464591,214080,261647,81149
1975:Q4,2313028,747477,459087,206996,860266,572665,485926,219359,277293,86086
1976:Q1,2372520,767648,474026,211812,873896,577948,505967,225009,277453,89672
1976:Q2,2439187,788211,485633,216337,891335,588825,528227,231414,283577,92920
1976:Q3,2501060,808297,500528,221278,910679,600862,546903,235181,289359,96583
1976:Q4,2565231,836261,517073,228961,931428,614346,559712,237830,308835,102217
1977:Q1,2637942,864819,536389,236168,960388,632300,572404,240331,306303,104063
1977:Q2,2713028,897932,556489,246398,988022,648519,580529,246545,322633,106663
1977:Q3,2805904,931229,579584,255421,1015394,665925,607628,251653,332245,110736
1977:Q4,2895413,966509,602997,264892,1050133,690322,622606,256165,362898,112420
1978:Q1,2987237,1002813,627038,274811,1081920,710785,637105,265399,365847,116886
1978:Q2,3090140,1046983,650880,289868,1117332,731047,650943,274882,391522,120044
1978:Q3,3194161,1088868,678732,301165,1148272,745665,672723,284298,405527,122522
1978:Q4,3290005,1128024,708641,311305,1184262,766056,682118,295601,439642,132210
1979:Q1,3379772,1170230,740030,322611,1221343,789844,685071,303128,448216,134927
1979:Q2,3481273,1211382,766252,333789,1266458,811542,693719,309714,479885,138641
1979:Q3,3595875,1255582,795664,345271,1308984,833769,714755,316554,502944,149584
1979:Q4,3688823,1296909,826724,354616,1343789,851772,725909,322216,538064,155569
1980:Q1,3789548,1338621,860063,359093,1383614,873559,739509,327804,553005,158948
1980:Q2,3856663,1352044,875720,352773,1404259,880652,767360,333000,570548,165421
1980:Q3,3942863,1381267,900209,354263,1431479,892677,791355,338762,586505,169808
1980:Q4,4051493,1420202,926526,358044,1474673,919612,812184,344434,620152,175821
1981:Q1,4145038,1442353,944614,363365,1509028,935220,842366,351291,621863,182695
1981:Q2,4257777,1474888,966081,369096,1566302,976520,860707,355880,659168,190189
1981:Q3,4357388,1498895,980800,376062,1617642,1014381,876789,364062,696737,193836
1981:Q4,4464736,1526567,998261,377882,1658457,1038680,907658,372054,723581,222513
1982:Q1,4569836,1545023,1012723,383538,1700124,1067949,941829,382860,730787,233541
1982:Q2,4671500,1564484,1021850,388711,1746192,1098089,967057,393767,770594,245989
1982:Q3,4784762,1567309,1017038,391153,1789873,1124827,1024123,403457,787521,253667
1982:Q4,4900299,1597908,1031175,396718,1807588,1129934,1081029,413774,823425,267243
1983:Q1,5036932,1608060,1033170,402687,1858041,1161482,1146269,424562,825957,270981
1983:Q2,5196415,1652404,1057024,412172,1896473,1185231,1207253,440285,857376,278198
1983:Q3,5355199,1700875,1085787,425395,1945750,1217535,1258653,449921,887779,291000
1983:Q4,5497720,1759608,1116384,444878,1996223,1247243,1280780,461109,931135,265006
1984:Q1,5701538,1813182,1153101,464733,2071525,1295249,1344109,472722,947398,275194
1984:Q2,5905233,1870264,1182190,489551,2158678,1352745,1389644,486647,994797,291025
