1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q2,5.727973047466344,10.02388952551129,7.587155342797238,10.53211641122783,8.349596054978491,7.577362407382501,-0.513604108832871,8.308396409082908,20.95578220998154,8.183026390734764
1960:Q3,4.592722763468433,8.107660023968661,8.631841346402048,6.597426131310928,5.192215787337037,3.532735826350909,0.203462874033251,8.001379548197965,12.02116645576901,6.270059072515001
1960:Q4,5.161892111927364,8.30686946347986,8.261801800501022,4.397345746261266,7.083830057070386,6.795262581646979,0.42913644297129,6.937165398703861,21.12963118072424,10.69793002381389
1961:Q1,4.08759222359847,6.490009596972633,7.868268047362389,2.751110240334378,4.763328946843721,1.645687352747451,0.382289900508654,7.727354558169807,-20.31345302182503,10.75825156110615
1961:Q2,5.79688512546624,7.836520225172958,7.361316324336323,-0.84158636597656,6.60276050954159,5.469227942080408,3.267934689246577,5.983207890661087,16.10325752919483,-0.799200799200799
1961:Q3,6.981505480307741,7.009927328356865,8.988366073617961,3.505065852013747,6.815373357821638,4.013698252266533,6.644581464280619,8.491841460639565,8.991540217537263,11.64642903773339
1961:Q4,7.274379924668768,10.5320263031026,10.43494480750911,8.738900187262146,9.209335124884454,8.843144804698589,2.538316416421099,7.979762232445966,30.13238075225888,12.97471031041191
1962:Q1,5.893385206113143,6.862938785461179,7.837586916579562,5.597856073145739,6.019450033534541,4.036415869961321,3.966286564204264,8.975133329049669,-9.995114802149487,12.45238192766149
1962:Q2,6.85401798950097,8.744011711578615,8.629373746378427,12.54144140292509,9.424742012599971,8.166206380479746,2.904086892488954,7.008458918314249,14.02911040408848,7.46831923092202
1962:Q3,5.498633481155308,9.721663347117047,9.58406312915672,7.891226192539889,7.73020491050015,6.140930568045165,-0.523933000544494,5.988512136372059,16.46779775879178,-0.811137542409235
1962:Q4,8.347288403813636,10.21745503287341,9.812694412486229,10.02686691821296,9.476480315237659,8.393762401069049,5.732695350477534,7.803619457933234,30.93588730298945,10.58184517994607
1963:Q1,6.149935773695471,8.901952631741045,8.641351815432513,11.33335256114444,6.683049216387133,5.184563386987192,2.996496820074875,6.150173092992718,-20.08415147265077,12.80645652504949
1963:Q2,7.584240022425227,11.32176727729442,9.391484387267873,10.2077234560976,7.954060483649471,5.675767803541433,3.353268392050351,8.220273225328599,33.1955109273479,18.93098233059132
1963:Q3,5.423150425499811,10.7098189515782,10.51483123082168,12.64486486116904,7.199025546265838,5.25712579748951,-1.411848278107472,5.137893693984287,22.37838518176669,3.972950126796281
1963:Q4,7.846191684159851,11.20241261880962,9.9664462974652,12.88304320306468,10.54088152700338,9.566445308865939,2.492110050866966,6.014490281047759,30.09257419841869,9.067447862174792
1964:Q1,6.054842341592106,9.646751858881167,9.328708955949564,13.79093360729421,6.464252288265994,5.485387882755735,1.970421537371591,5.701287495938057,-7.006004618937645,7.999182366368003
1964:Q2,7.245080525352833,10.12292412550068,8.68954667595804,10.99252371834063,9.036769928427034,7.68078896994821,2.310321910238192,7.636303375131194,34.39080805611449,11.0394600554646
1964:Q3,7.034109117591289,8.855324049214969,9.302565904370201,12.17733799694328,8.786746606317573,7.707912215053236,3.163013478584675,7.57564259618616,2.950700445029351,7.335392619086327
1964:Q4,7.703943320784816,10.08465843654658,8.677078757214488,9.67894170650705,9.833188317580763,10.15974666853384,3.226577610999631,6.953931269283967,16.28190803609798,18.22535840863374
1965:Q1,6.870205282541919,8.522372528616025,8.395976968888231,13.69974356626065,10.49045924024042,11.18941734640535,1.264781232371213,7.324521040742909,-2.660419704142981,14.42754349212132
1965:Q2,6.941602893565229,8.95590819939377,7.563098430647394,13.06011760636458,10.61187065316668,9.912341654013336,0.263620701388665,8.782541720154043,38.72882893282979,4.805860805860806
1965:Q3,5.659080613391599,8.159425738776976,8.638972292957318,9.99748106781287,10.15482191325541,9.89206943083329,-2.728968082098127,7.838171897139068,-4.161905334696578,1.621543361806863
1965:Q4,8.299570312760288,9.434636530916199,8.212654742970878,7.796058049521439,10.20051927706369,10.40180650683127,5.456504737500315,6.745316026531839,26.34009967181232,7.8788752703677
1966:Q1,7.3707348396056,7.266171865738746,7.830520986652935,10.32629322282514,12.57723339050058,12.21511451926491,2.148962496266693,6.625700273324675,3.814682822523165,7.987537176037389
1966:Q2,7.424435614983947,8.166854972151356,5.88526675145592,5.46668566557423,13.42911577825364,14.52880094951659,-0.415895997708328,8.127151206582573,36.53256894336266,6.531519022493752
1966:Q3,4.879153466174666,4.148936909635581,5.133211951693626,3.585785099509236,9.883008253336998,11.13582433431618,-0.239318296875055,5.700188760349113,-3.374435545434549,-0.32788676976884
1966:Q4,6.150222822317817,5.481087990049895,4.241424229266174,4.461228230980751,7.739151658325072,7.822290370589053,5.385759829968119,5.520596283363584,27.47047693612579,6.770947276307155
1967:Q1,6.025302589112687,3.815219073109424,4.019901865585068,3.739049718628531,9.871023825997481,11.58666864950196,4.62074582053191,5.256413751738052,-8.723045739822705,14.73294524773989
1967:Q2,4.513323417393964,5.102738643676414,3.839033006320359,3.953491156853588,10.74552101638086,10.60997679081775,-4.865137557618017,7.519822050012557,-3.495106850409427,9.769728331177232
1967:Q3,7.94711055725898,6.147557854954604,7.426331099026179,5.516004951598598,9.222391133915751,9.09606208553358,8.95181995620632,7.388104377222946,9.585453080139022,9.152901954841642
1967:Q4,12.66634513159151,20.93770700628613,7.218124777537725,6.335483056021446,7.446755914941304,5.73556016360017,11.05500130010538,5.829573154919351,22.6821619627375,9.402469135802468
1968:Q1,4.598156706792778,-4.621174084439827,6.740549814208005,7.15134433115035,10.74918566775244,13.05087676172851,8.826682469819751,5.943495893398766,-0.544654702883877,9.061082698060407
1968:Q2,7.922284704823667,10.05245502597605,6.06431338682787,8.69801281355196,11.40375293444181,11.29295411956129,1.387667350728037,6.521374122703919,26.97619130860399,3.057252718737468
1968:Q3,8.111649603840011,7.078274854374644,7.055866163914532,9.522544304806441,10.40357734891431,11.18992706600373,7.248056353573226,6.390325298617191,12.21450718371981,5.49689804518319
1968:Q4,8.581641009758831,11.15645340797949,7.207681585875794,12.88938485627038,11.55406399365698,11.91389375605934,0.742259363531726,10.1892806036165,22.58218300085811,7.620895108770958
1969:Q1,6.545012393607212,4.535355713254526,7.025337156853051,10.5762461868526,10.63161567988833,11.43568652075872,1.429576187308851,12.71754212091179,-6.891157417620987,6.934529879665511
1969:Q2,5.605991305030793,8.091605541213415,6.427638242037929,9.601645996456536,13.39206466111457,12.93179181365338,-10.1058533274984,10.12794405809352,38.44741030978327,8.607324244854317
1969:Q3,7.011101214003067,4.884648995712698,7.052258301188346,6.08201309211523,11.35842962766699,10.92203212839804,3.393899959333063,8.064153488720677,13.77345844504022,5.189934144533124
1969:Q4,7.330042202594845,8.223198526676931,5.913432303216339,5.984637858724848,9.504285501700208,8.943736001733846,3.35502269479294,6.279753158977373,47.03616713011708,5.752050459604331
1970:Q1,4.811428856117975,1.725895268183342,4.330274966001529,4.019933297738159,9.064550852460155,21.85458180916204,2.453108454394513,6.084321227858264,14.14284563974555,5.678996625708283
1970:Q2,6.802878600855477,2.346088495202618,1.620220349967596,2.475297776943571,12.62522427440633,12.50850553674592,3.375516693163752,9.159304645198061,16.62454017312044,4.628583385645533
1970:Q3,7.462983832493848,4.799866052299087,4.168325175264016,4.83258779861045,9.735156117314606,8.122987518811634,8.115931061881609,6.705949545182276,0.82135523613963,2.895972529632005
1970:Q4,7.307788392802979,6.798877339488338,6.024750595341607,2.214042960558363,8.416733686292273,6.779316005367917,4.24983543939998,11.8809982120961,21.73770491803279,10.67915306101493
1971:Q1,7.282443314145098,7.285037556484568,7.628970508539762,13.6652700882837,9.172150697052981,8.524338107880906,2.319074571824344,11.63674102064304,-5.444792321881648,10.08941251775249
1971:Q2,10.50602170671496,8.042739602193743,5.434521563111126,8.074443168356229,11.35604465782917,8.443072109627465,12.57437150944142,10.80871420259875,0.094578231243775,8.334959222694813
1971:Q3,9.674171739638467,8.893207525005899,9.066107030430221,10.64627189016888,10.44311858205029,9.06501500285091,9.673910800765189,9.456788569270474,8.446991404011461,7.209204541110815
1971:Q4,9.766389009546975,12.40041429467843,10.52805783017681,12.35962623407169,8.16468528997679,5.367545959148249,8.377174300942821,10.13614059252518,29.51146280551112,6.863794236365344
1972:Q1,8.819070291943365,10.45745242612114,10.92504863404577,11.08661712777149,11.27302546334918,11.31325881351911,1.719545025299863,10.6076870948203,3.744814294580734,10.1072371213939
1972:Q2,9.334479593353532,11.56558076151541,8.075343025925903,13.52071169876027,12.28153764354125,8.226972163900268,2.160159429646055,7.454620871770006,15.61703064117335,2.009073233959819
1972:Q3,9.260178882603725,9.661454717138335,11.02601102601103,10.68212204535708,11.06409364761482,9.019839458218142,6.714797009441812,7.072763665770049,10.05668722357192,2.378777294140828
1972:Q4,11.89813558483515,13.40647798383984,12.34816841903116,14.64018403117965,13.34276992120232,10.06034576682584,9.38257639199686,7.366914259307267,39.17698674088208,10.04291386954896
1973:Q1,11.98720703635739,12.71594543357134,12.63040238450074,14.80116380357556,16.14023472291189,15.41052249382584,5.833400402414487,7.79812959991146,3.035885180698231,8.886727231669822
1973:Q2,9.764263598590697,9.507818896591083,9.348469165549579,14.47228107294693,15.75212945509909,16.27153459157488,1.567482667258968,5.979384800768591,31.81456328269546,11.89505165851006
1973:Q3,9.465018802925307,10.72216037753014,10.14751479845908,10.52953412571453,14.52911396098686,19.82921766651636,-0.625809918139006,7.326712552209512,25.37964705284036,-0.554473745008086
1973:Q4,8.482664437848138,10.25216405846643,12.0482317365689,10.6339685875015,9.726512235571711,15.05821552519955,2.907084104950485,9.173791567758334,28.36838732508871,11.40893016492051
