"CAINC4 Personal Income and Employment by Major Component"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"37045","Cleveland, NC","7010","Total employment",46111,47125,45833,42626,41809,44400,44407,44893,45105,45313,45635,46290,47003
"37045","Cleveland, NC","7020","  Wage and salary employment",37348,37663,36816,33547,32990,34720,35023,35507,35723,35965,36515,36996,37484
"37045","Cleveland, NC","7040","  Proprietors employment",8763,9462,9017,9079,8819,9680,9384,9386,9382,9348,9120,9294,9519
"37047","Columbus, NC","70","Proprietors' income 9/",94997,81063,107903,81765,106048,98221,115679,116460,84835,54892,60916,80626,60649
"37047","Columbus, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37047","Columbus, NC","7010","Total employment",23481,23838,23847,23131,22952,23603,23375,23590,23005,22713,22668,21895,22104
"37047","Columbus, NC","7020","  Wage and salary employment",18127,18191,18393,17597,17436,17784,17753,17808,17099,16864,16873,16393,16458
"37047","Columbus, NC","7040","  Proprietors employment",5354,5647,5454,5534,5516,5819,5622,5782,5906,5849,5795,5502,5646
"37049","Craven, NC","70","Proprietors' income 9/",179567,156825,172707,155927,179402,183531,199096,175359,157918,150922,156036,164290,167406
"37049","Craven, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37049","Craven, NC","7010","Total employment",61898,62639,62151,60539,59678,58958,59165,59260,59321,59680,60121,59720,59453
"37049","Craven, NC","7020","  Wage and salary employment",52103,52298,52294,50708,50039,49149,49391,49135,49414,49738,50131,49736,49207
"37049","Craven, NC","7040","  Proprietors employment",9795,10341,9857,9831,9639,9809,9774,10125,9907,9942,9990,9984,10246
"37051","Cumberland, NC","70","Proprietors' income 9/",435961,391914,427266,428163,561276,540347,622278,584858,542793,462458,410081,424241,432611
"37051","Cumberland, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37051","Cumberland, NC","7010","Total employment",193451,198424,202483,202974,203694,205445,203369,201689,200110,199889,200923,201939,203746
"37051","Cumberland, NC","7020","  Wage and salary employment",171313,174887,178785,179101,179967,179887,177888,175660,173336,173577,173451,173325,174322
"37051","Cumberland, NC","7040","  Proprietors employment",22138,23537,23698,23873,23727,25558,25481,26029,26774,26312,27472,28614,29424
"37053","Currituck, NC","70","Proprietors' income 9/",67481,49858,39185,37638,50538,61677,69375,63624,59820,60191,60785,63008,64786
"37053","Currituck, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37053","Currituck, NC","7010","Total employment",8844,9209,8918,8545,8566,9043,9475,9839,10290,10436,10333,10769,11339
"37053","Currituck, NC","7020","  Wage and salary employment",5961,6111,5922,5671,5742,6263,6669,6977,7238,7461,7107,7419,7897
"37053","Currituck, NC","7040","  Proprietors employment",2883,3098,2996,2874,2824,2780,2806,2862,3052,2975,3226,3350,3442
"37055","Dare, NC","70","Proprietors' income 9/",204936,157315,133090,117791,144219,142871,198534,218601,232843,230524,234037,247518,257209
"37055","Dare, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37055","Dare, NC","7010","Total employment",29032,29352,28811,27565,27237,27091,28010,28274,28827,29248,29241,29473,29841
"37055","Dare, NC","7020","  Wage and salary employment",21010,20859,20565,19451,19094,18899,19596,19837,20019,20509,20229,20406,20500
"37055","Dare, NC","7040","  Proprietors employment",8022,8493,8246,8114,8143,8192,8414,8437,8808,8739,9012,9067,9341
"37057","Davidson, NC","70","Proprietors' income 9/",295047,287454,260339,247444,299499,283281,321967,309539,338930,322917,326991,342470,350709
"37057","Davidson, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37057","Davidson, NC","7010","Total employment",62900,62767,60730,57809,57759,58831,59537,60247,60835,61489,64323,64840,65907
"37057","Davidson, NC","7020","  Wage and salary employment",48280,47063,45430,42400,42755,43229,44123,44672,45013,45810,46958,47326,47922
"37057","Davidson, NC","7040","  Proprietors employment",14620,15704,15300,15409,15004,15602,15414,15575,15822,15679,17365,17514,17985
"37059","Davie, NC","70","Proprietors' income 9/",87623,83736,85891,67782,75916,70229,82944,77859,88118,87047,91107,95371,96532
"37059","Davie, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37059","Davie, NC","7010","Total employment",16567,17224,16544,15626,15376,15563,15196,16011,16703,17827,18491,19084,19371
"37059","Davie, NC","7020","  Wage and salary employment",11711,12009,11445,10465,10312,10421,10177,10870,11557,12614,13158,13583,13745
"37059","Davie, NC","7040","  Proprietors employment",4856,5215,5099,5161,5064,5142,5019,5141,5146,5213,5333,5501,5626
"37061","Duplin, NC","70","Proprietors' income 9/",186857,216597,265014,256894,350885,293498,333061,376514,368808,298631,229488,299204,210748
"37061","Duplin, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37061","Duplin, NC","7010","Total employment",23973,24366,24884,24384,24597,25336,25079,25406,25857,26008,26039,24824,24760
"37061","Duplin, NC","7020","  Wage and salary employment",19155,19394,20175,19587,19732,19805,19589,19989,20338,20632,20711,19744,19551
"37061","Duplin, NC","7040","  Proprietors employment",4818,4972,4709,4797,4865,5531,5490,5417,5519,5376,5328,5080,5209
